sonaID,EnglishDominant,EnglishNative,languagelist,AofExposure,Gender,Age,SLH
28420,Yes,Yes,English,0,male,400,No
30424,No,No,"German, English, Spanish, Romanian, Dutch","0, 6, 14, 21, 26",female,28,No
11956,Yes,Yes,"English, Cantonese, Mandarin, French, Spanish","0, 0, 3, 10, 15",Female,24,No
34783,Yes,Yes,"English, French, Italian","0, 7, 20",Nonbinary,27,No
29191,Yes,No,"Mandarin, English, Japanese, Wu Chinese, Korean, German","0, 1, 8, 0, 16, 16",Female,22,No
33271,Yes,Yes,"English, Spanish, French","0, 14, 18",Female,19,No
32881,Yes,Yes,"English, Hungarian, Ladino, Hebrew, Japanese, French, Spanish (Panamanian, Mexican & Nicaraguan), Italian","0, 0, 0, 0, 21, 4, 1, 23",Female,25,No
34786,No,Yes,"English, Telugu, French","0, 0, 0",woman,17,No
34789,No,No,"Mandarin, English, French, Japanese","0, 8, 11, 18",female,21,No
34792,Yes,Yes,"English, Cantonese, Mandarin","0, 0, 15",Male,18,No
34795,Yes,Yes,"English, Russian, Spanish (Latin America)","0, 0, 14",male,18,No
34807,Yes,No,"English, Punjabi, French","0, 0, 12",female,18,No
34810,Yes,No,"English, Chinese Mandarin, French","6, 0, 12",Male,20,No
32479,Yes,Yes,"English, Japanese, Mandarin, French","0, 13, 0, 8",Non-binary,17,No
34813,Yes,Yes,"English, Mandarin, French","0, 0, 10",Female,17,No
34477,Yes,Yes,"English, French","0, 13",Male,19,No
34825,Yes,Yes,"Mandarin, Cantonese","7, 0",Female,20,No
31618,Yes,Yes,"English, Hindi, Bengali","3, 2, 2",Female,18,No
34837,Yes,Yes,"English, Mandarin, French","0, 0, 11",Male,19,No
34858,Yes,Yes,English,2,Female,18,No
34831,Yes,Yes,"English, Cantonese, Mandarin","0, 0, 0",Female,19,No
34867,Yes,Yes,"Cantonese, English, Mandarin, French, German","0, 3, 6, 10, 18",Female,18,No
34843,Yes,Yes,"English, French, Spanish, Japanese","0, 6, 16, 12",Female,19,No
34870,Yes,Yes,"English, French, Greek","0, 6, 0",Female,18,No
34897,Yes,Yes,"English, Cantonese, Mandarin, Spanish, French, Korean","0, 0, 7, 15, 12, 15",Female,18,No
34909,No,No,"Cantonese(Not Native), English(Not Native), Mandarin (Native)","18, 12, 0",Male,25,No
34903,Yes,No,"Japanese, English, French, Portuguese","0, 9, 11, 18",Male,19,No
34240,Yes,Yes,"English, Mandarin","0, 0",female,19,No
34891,Yes,Yes,"English, German","0, 15",Woman,16,"Yes, please specify the disorder or disability:"
34912,Yes,Yes,"English, Spanish, Hebrew","0, 3, 0",Female,18,No
31879,No,Yes,"Cantonese, Mandarin, English, French","1, 6, 6, 6",Female,20,No
34915,Yes,No,"Mandarin, English","0, 4",Female,19,No
34906,Yes,Yes,"English, Mandarin, French","0, 0, 11",female,18,No
34828,NA,No,"Mandarin, Taiwanese, English, Cantonese, Japanese, American sign language","0, 0, 11, 22, 21, 22",Female,23,No
34840,Yes,Yes,"English, Lebanese Arabic, French, Spanish, German","0, 0, 13, 9, 12",Female,20,No
34921,No,No,"English, Mandarin, French","0, 15, 5",Woman,19,No
23728,Yes,Yes,"English, French, German","0, 12, 14",Female,21,No
