sonaID,EnglishDominant,EnglishNative,languagelist,AofExposure,Gender,Age,SLH,GENDER,EN_AOA
29191,Yes,No,"English, Mandarin, Japanese, Korean, German","0, 0, 9, 16, 16",Female,22,No,female,0
38770,Yes,Yes,"South Vietnamese, French, Cantonese, Spanish, Japanese, Italian","0, 12, 0, 17, 15, 19",Female,20,No,female,-1
38776,No,No,"English, Korean, Japanese","0, 15, 16",Male,33,No,male,0
36016,Yes,Yes,"English, Filipino, Spanish","0, 6, 15",Female,19,No,female,0
38785,Yes,Yes,"English, Punjabi, Hindi, French","0, 0, 0, 12",male,19,No,male,0
38788,Yes,Yes,"English - native speaker, French - educational, Mandarin - educational","0, 5, 5",Female,25,No,female,0
38791,Yes,Yes,"English, Hindi, Telugu, Spanish, Korean","0, 9, 0, 15, 15",woman,18,No,female,0
32971,Yes,No,"Malayalam, Hindi, English, Tamil, Urdu","0, 5, 0, 0, 12",Female,19,No,female,0
32617,Yes,Yes,"English, Spanish, French, Arabic","3, 1, 6, 1",woman,19,No,female,3
35815,Yes,Yes,"English, Bangla, Spanish, Hindi","0, 0, 12, 4",Woman,18,No,female,0
35662,Yes,Yes,"English, French, Tagalog","0, 5, 0",female,18,No,female,0
38779,Yes,Yes,English,0,Man,20,No,male,0
32095,Yes,Yes,"English, German, French","0, 19, 10",Female,19,No,female,0
38764,Yes,No,"Telugu, English, Hindi, French, Tamil","0, 3, 9, 18, 3",Female,23,No,female,3
38797,Yes,Yes,"English, Punjabi, Hindi","0, 0, 0",Female,18,No,female,0
24997,Yes,Yes,"English, Korean, French, Mandarin","5, 0, 9, 21",Non-binary,21,No,non-binary,5
38800,Yes,No,"English, Tibetan, Hindi, Nepali, French, Urdu","0, 0, 0, 0, 0, 0",woman,19,No,female,0
38803,No,No,"Korean, Japanese, French","0, 10, 13",Female,19,No,female,-1
38806,Yes,No,"English, Mandarin, Cantonese, French, Japanese, Thai","0, 0, 0, 12, 15, 16",female,19,No,female,0
38812,Yes,Yes,"English, French","0, 6",female,19,No,female,0
35341,Yes,Yes,"English, Afrikaans, French, Latin","0, 0, 14, 19",female,20,No,female,0
35119,Yes,Yes,"English, Spanish, Portuguese, French","0, 0, 3, 5",Female,18,No,female,0
35539,Yes,Yes,"english, punjabi, hindi","0, 0, 12",female,18,No,female,0
22771,Yes,Yes,"English, Taiwanese Mandarin, Japanese, Cantonese, French, Taiwanese Hokkien","0, 0, 13, 0, 9, 0",Female,23,No,female,0
38818,Yes,No,"British English, Mandarin, French, Cantonese, American English, Japanese","3, 1, 8, 4, 3, 9",Male,20,No,male,3
36514,No,No,"Cantonese, Mandarin, English, Russian, Korean, Spanish","0, 4, 1, 18, 16, 12",Male,18,No,male,1
35332,Yes,Yes,"English, French, Spanish, Japanese","0, 9, 15, 16",Female,19,No,female,0
34198,Yes,Yes,English,0,Male,25,No,male,0
35620,Yes,No,"Japanese, Mandarin, English, French","0, 6, 6, 20",Female,23,No,female,6
